PI,YEAR,Trial,TRIAL_SHORT,Location,LOC_SHORT,Trt,Reps,Plots,SAMPLING
Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,ASHB,48,3,144,"F6, F105, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2V,Ashland Bottoms,ASHB,4,4,16,"F6, F105, HI, CB"
Lollato,22,N x fungicide,NxF,Ashland Bottoms,ASHB,20,3,60,"HI, CB"
Lollato,22,RAIN Ag rotation - forage,RAIN,Ashland Bottoms,ASHB,17,4,68,"F6, F105, SD, HI, CB"
Lollato,22,N x fungicide,NxF,Belleville opt,BEOP,20,3,60,"HI, CB"
Lollato,22,Chloride (2) x variety (24),Clx24,Hays,HAYS,48,2,96,"F6, F105, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Hays,HAYS,4,4,16,"F6, F105, HI, CB"
Lollato,22,N x fungicide,NxF,Hays,HAYS,20,4,80,"HI, CB"
Lollato,22,Chloride (2) x variety (24),Clx24,Hutchinson Optimum,HUT.O,48,4,144,"F6, F105, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Hutchinson Optimum,HUT.O,4,4,16,"F6, F105, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Hutchinson Optimum,HUT23B,4,3,144,"F6, F105, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Hutchinson Early,HUTE,4,4,16,"F6, F105, HI, CB"
