"","Range","Row","Plot","Moisture","Tstwght","Weight","Date.Time","SEQ."
"1",1,14,"110VR",10.87,63.6877417024824,8.36624482909228,"25/06/2022:13:59:59",13
"2",1,15,"111VR",10.55,51.3650546202948,13.7405673621239,"25/06/2022:14:01:29",14
"3",1,16,"112VR",10.83,54.982436757504,8.34549391190748,"25/06/2022:14:13:15",29
"4",1,17,"113VR",10.65,61.7067500546364,11.9014253871686,"25/06/2022:14:14:24",30
"5",1,18,"114VR",10.93,63.6092869768681,9.4676552978786,"25/06/2022:14:25:48",45
"6",1,19,"115VR",10.57,52.0689603297468,7.80183563660679,"25/06/2022:14:26:54",46
"7",1,20,"116VR",10.63,61.4052354263443,6.93156491385278,"25/06/2022:14:38:52",61
"8",1,21,"117VR",10.74,60.366601256298,7.58738028073216,"25/06/2022:14:39:59",62
"9",1,22,"118VR",10.69,58.8588759637371,6.09994945428137,"25/06/2022:14:51:47",77
"10",1,23,"119VR",10.82,56.4953399208171,8.23191994073637,"25/06/2022:14:53:09",78
"11",1,24,"120VR",10.82,55.5761151610157,11.9468119704032,"25/06/2022:15:04:45",93
"12",1,25,"101IND",11.16,59.6071113678952,8.83805736832905,"25/06/2022:15:06:00",94
"13",1,26,"102IND",11.2,63.8254907753845,13.4735347630241,"25/06/2022:15:17:03",109
"14",1,27,"103IND",11.2,53.0456884671893,9.65464936369357,"25/06/2022:15:17:54",110
"15",2,14,"130VR",10.95,54.798503507725,8.12401493650188,"25/06/2022:13:59:12",12
"16",2,15,"131VR",11.04,65.5514964676344,9.4308126804139,"25/06/2022:14:02:16",15
"17",2,16,"132VR",10.81,54.1706632751869,8.82196379666607,"25/06/2022:14:12:26",28
"18",2,17,"133VR",10.46,48.4953796615889,9.11213714794218,"25/06/2022:14:15:12",31
"19",2,18,"134VR",10.54,59.0698530646041,10.1199931469385,"25/06/2022:14:25:04",44
"20",2,19,"135VR",11.2,60.376776109473,10.1644658977304,"25/06/2022:14:27:39",47
"21",2,20,"136VR",10.9,59.0508793493285,11.5167950473743,"25/06/2022:14:38:04",60
"22",2,21,"137VR",11.6,55.5061994672442,11.0793259818067,"25/06/2022:14:40:44",63
